iso639_3,name,alt_names,iso639_1,iso639_2b,iso639_2t,scope,type,glottocode,family,family_glottocode,is_isolate,countries,latitude,longitude
gdi,Gundi,Ngondi;Ngundi,,,,individual,living,gund1247,Atlantic-Congo,atla1278,false,CF;CM,3.68861,17.30096
rub,Gungu,Lugungu;Rugungu,,,,individual,living,gung1250,Atlantic-Congo,atla1278,false,UG,2.06754,31.4819
gpa,Gupa-Abawa,Nigeria,,,,individual,living,gupa1248,Atlantic-Congo,atla1278,false,NG,8.21291,6.69128
gvm,Gurmana,Gura,,,,individual,living,gurm1246,Atlantic-Congo,atla1278,false,NG,10.1487,6.79456
goa,Guro,Gouro;Kweni;Kwéndré;Lo,,,,individual,living,guro1248,Mande,mand1469,false,CI,7.34954,-6.31154
grd,Guruntum-Mbaaru,Gurdu-mbaaru;Gurdung;Guruntum;Gùrdùŋ;Gùrùntùm;Tala,,,,individual,living,guru1271,Afro-Asiatic,afro1255,false,NG,9.87332,10.162
guz,Gusii,Ekegusii;Guzii;Kisii;Kosova,,,,individual,living,gusi1247,Atlantic-Congo,atla1278,false,KE;TZ,-0.78872,34.76751
gsl,Gusilay,Gusiilay;Gusilaay;Kusiilaay;Kusilay,,,,individual,living,gusi1246,Atlantic-Congo,atla1278,false,SN,12.7761,-16.5026
ngs,Gvoko,Gavoko;Gevoko;Ghboko;Kuvoko;Nggweshe;Ngoshe Sama;Ngoshe-Ndhang;Ngoshi;Ngossi;Ngweshe;Ngweshe-Ndaghan,,,,individual,living,gvok1239,Afro-Asiatic,afro1255,false,CM;NG,10.9918,13.7537
gwb,Gwa,Nigeria,,,,individual,living,gwaa1239,Atlantic-Congo,atla1278,false,NG,10.3069,9.11434
jgk,Gwak,Gingwak;Jaracin Kasa;Jarawan Bununu,,,,individual,living,ging1241,Atlantic-Congo,atla1278,false,NG,9.8,9.61
bga,Gwamhi-Wuri,"""Banganci"";Gwamfi;Gwamhyə-Wuri-Mba;Lyase;Lyase-Ne;Tchumbuli",,,,individual,living,gwam1244,Atlantic-Congo,atla1278,false,BJ;NG,11.8081,5.07897
gwn,Gwandara,Kwandara,,,,individual,living,gwan1268,Afro-Asiatic,afro1255,false,NG,9.20464,7.49931
gwe,Gweno,Ghonu;Kighonu;Kigweno,,,,individual,living,gwen1239,Atlantic-Congo,atla1278,false,KE;TZ,-3.68407,37.6827
gwr,Gwere,Lugwere;Olugwere,,,,individual,living,gwer1238,Atlantic-Congo,atla1278,false,UG,1.11392,33.8227
gyi,Gyele,"""Babinga"";Babinga;Bagiele;Bagyele;Bagyéli;Bajele;Bajeli;Baka;Bako;Bakola;Bakuele;Bekoe;Bogyel;Bogyeli;Bondjiel;Giele;Gieli;Guiele;Gyeli;Likoya",,,,individual,living,gyel1242,Atlantic-Congo,atla1278,false,CM;GQ,2.47457,10.2493
gye,Gyem,Gema;Gemawa;Gyam;Gyemawa,,,,individual,living,gyem1238,Atlantic-Congo,atla1278,false,NG,10.4109,9.23923
haq,Ha,Giha;Ikiha;Kiha,,,,individual,living,haaa1252,Atlantic-Congo,atla1278,false,BI;TZ,-3.77873,30.4894
hdy,Hadiyya,Adea;Adiya;Adiye;Hadia;Hadiya;Hadya,,,,individual,living,hadi1240,Afro-Asiatic,afro1255,false,ET,7.57377,37.7577
hts,Hadza,"""Tindiga"";Hadzabi;Hadzapi;Hatsa;Kangeju;Kindiga;Tindiga;Wakindiga",,,,individual,living,hadz1240,Hadza (isolate),hadz1240,true,TZ,-3.83115,35.0458
hgm,Haiǁom,"""Saan"";""San"";Hai.n//um;Hai//om;Haiom;Hai||om",,,,individual,living,haio1238,Khoe-Kwadi,khoe1240,false,BW;NA;ZA,-19.7637,17.0299
hba,Hamba,Democratic Republic of the Congo,,,,individual,living,hamb1245,Atlantic-Congo,atla1278,false,CD,-2.49047,24.2299
amf,Hamer-Banna,"""etc."";Amar;Amarcocche;Amer;Ammar;Bana;Banna;Beshada;Cocche;Hamar;Hamar-Koke;Hamer;Hamer-Bana-Kara;Hammer;Hammercoche;Kara Kerre;Karo",,,,individual,living,hame1242,South Omotic,sout2845,false,ET;KE,5.06515,36.5176
hag,Hanga,Anga,,,,individual,living,hang1258,Atlantic-Congo,atla1278,false,GH,9.33929,-1.57833
han,Hangaza,Kihangaza,,,,individual,living,hang1260,Atlantic-Congo,atla1278,false,BI;TZ,-2.52347,30.7074
har,Harari,Adare;Adarinnya;Adere;Aderinya;Gey Sinan;Hararri,,,,individual,living,hara1271,Afro-Asiatic,afro1255,false,ET,9.30485,42.1332
ybj,Hasha,Yashi,,,,individual,living,hash1238,Atlantic-Congo,atla1278,false,NG,9.14063,8.66137
mey,Hassaniyya,Arabic;Arabic (Bani-Hassan);Bedouin Dialects;Eastern Arabic;Hasanya;Hasanya Arabic;Hassani;Hassaniya;Hassaniyya Arabic;Hassānīya Arabic;Klem El Bithan;Maure;Mauri;Moor;Sahrawi;Sulaka;Suraka;Suraxxé,,,,individual,living,hass1238,Afro-Asiatic,afro1255,false,DZ;EH;MA;ML;MR;NE;SN,18.29,-14.11
hau,Hausa,Abakwariga;Habe;Haoussa;Hausa Group;Hausawa;Haussa;Hawsa;Kado;Mgbakpa,ha,hau,hau,individual,living,haus1257,Afro-Asiatic,afro1255,false,BF;BJ;CM;NE;NG;TD,11.1513,8.7804
hsl,Hausa Sign Language,Maganar Bebaye;Maganar Hannu,,,,individual,living,haus1246,Sign Language,sign1238,false,NG,8.486,7.168
hav,Havu,Haavu;Kihavu,,,,individual,living,havu1238,Atlantic-Congo,atla1278,false,CD,-1.99975,28.8624
hay,Haya,Ekihaya;Kihaya;Ruhaya;Ziba,,,,individual,living,haya1250,Atlantic-Congo,atla1278,false,TZ;UG,-1.70878,31.4846
xed,Hdi,Ftour;Hde;Hedi;Hide;Tourou;Tur;Turu;Turu-Hide;Xadi;Xdi;Xedi,,,,individual,living,hdii1240,Afro-Asiatic,afro1255,false,CM;NG,10.942,13.6881
heh,Hehe,Kihehe;Wahehe,,,,individual,living,hehe1240,Atlantic-Congo,atla1278,false,TZ,-7.71572,35.7255
hbn,Heiban,Abul;Ebang;Heibán,,,,individual,living,heib1243,Heibanic,heib1242,false,SD,11.2908,30.5282
